층_주_용도_코드,층_주_용도_코드_명,재조달용도명,재조달용도코드
04039,복합유통게임제공업의시설,점포 및 상가,A03B01
04040,교습소,점포 및 상가,A03B01
04041,동물미용실,점포 및 상가,A03B01
04042,총포판매소,점포 및 상가,A03B01
04043,다중생활시설,기숙사,A02B05
04044,인터넷컴퓨터게임시설제공업소,점포 및 상가,A03B01
04045,청소년게임제공업소,점포 및 상가,A03B01
04046,복합유통게임제공업소,점포 및 상가,A03B01
04047,기타게임시설,점포 및 상가,A03B01
04048,가상현실체험제공업소,점포 및 상가,A03B01
04049,동물위탁시설,동물보호소,A18B02
04050,주문배송시설,물류창고(물류센터),A05B07
04100,운동시설,점포 및 상가,A03B01
04101,테니스장,일반창고,A05B04
04102,체력단련장,체육관,A09B03
04103,에어로빅장,점포 및 상가,A03B01
04104,볼링장,볼링장,A09B02
04105,당구장,점포 및 상가,A03B01
04106,실내낚시터,레저시설(인도어골프연습장),A09B04
04107,골프연습장,레저시설(인도어골프연습장),A09B04
04108,물놀이형시설,점포 및 상가,A03B01
04109,놀이형시설,점포 및 상가,A03B01
04199,기타운동시설,체육관,A09B03
04200,종교집회장,교회 및 성당,A16B01
04201,교회,교회 및 성당,A16B01
04202,성당,교회 및 성당,A16B01
04203,사찰,교회 및 성당,A16B01
04204,기도원,점포 및 상가,A03B01
04205,수도원,교회 및 성당,A16B01
04206,수녀원,교회 및 성당,A16B01
04207,제실,재실,A16B02
04208,사당,재실,A16B02
04299,기타종교집회장,교회 및 성당,A16B01
04300,공연장,보류!!!!!!!!!!,A03B01
04301,극장(영화관),점포 및 상가,A03B01
04302,음악당,점포 및 상가,A03B01
04303,연예장,일반창고,A05B04
04304,비디오물감상실,점포 및 상가,A03B01
04305,비디오물소극장,점포 및 상가,A03B01
04306,극장,점포 및 상가,A03B01
04307,영화관,점포 및 상가,A03B01
04308,서커스장,일반창고,A05B04
04399,기타공연장,점포 및 상가,A03B01
04400,사무소,사무실(15층이하),A04B01
04401,금융업소,점포 및 상가,A03B01
04402,사무소,점포 및 상가,A03B01
04403,부동산중개업소,점포 및 상가,A03B01
04404,결혼상담소,점포 및 상가,A03B01
04405,출판사,점포 및 상가,A03B01
04406,부동산중개사무소,점포 및 상가,A03B01
04499,기타사무소,점포 및 상가,A03B01
04999,기타제2종근린생활시설,점포 및 상가,A03B01
05000,문화및집회시설,보류!!!!!!!!!!,A03B01
05100,공연장,점포 및 상가,A03B01
05101,극장(영화관),점포 및 상가,A03B01
05102,음악당,점포 및 상가,A03B01
05103,연예장,점포 및 상가,A03B01
05104,서커스장,일반창고,A05B04
05105,비디오물감상실,점포 및 상가,A03B01
05106,비디오물소극장,점포 및 상가,A03B01
05107,극장,점포 및 상가,A03B01
05108,영화관,점포 및 상가,A03B01
05199,기타공연장,일반공장,A05B01
05200,집회장,보류!!!!!!!!!!,A05B04
05201,예식장,예식장,A12B01
05202,회의장,점포 및 상가,A03B01
05203,공회당,일반창고,A05B04
05204,마권장외발매소,점포 및 상가,A03B01
05205,마권전화투표소,점포 및 상가,A03B01
05299,기타집회장,일반창고,A05B04
05300,관람장,점포 및 상가,A03B01
05301,경마장,체육관,A09B03
05302,자동차경기장,체육관,A09B03
05303,체육관,체육관,A09B03
05304,운동장,체육관,A09B03
05305,경륜장,점포 및 상가,A03B01
05306,경정장,체육관,A09B03
05399,기타관람장,점포 및 상가,A03B01
05400,전시장,점포 및 상가,A03B01
05401,박물관,도서관,A13B02
05402,미술관,점포 및 상가,A03B01
05403,과학관,점포 및 상가,A03B01
05404,기념관,공공청사,A04B04
05405,산업전시장,점포 및 상가,A03B01
05406,박람회장,점포 및 상가,A03B01
05407,문화관,복지관,A17B01
05408,체험관,점포 및 상가,A03B01
05499,기타전시장,도서관,A13B02
05500,"동,식물원",축사,A18B01
05501,동물원,축사,A18B01
05502,식물원,축사,A18B01
05503,수족관,점포 및 상가,A03B01
05599,"기타동,식물원",축사,A18B01
05999,기타문화및집회시설,예식장,A12B01
06000,종교시설,교회 및 성당,A16B01
06100,종교집회장,교회 및 성당,A16B01
06101,교회,교회 및 성당,A16B01
06102,성당,교회 및 성당,A16B01
06103,사찰,교회 및 성당,A16B01
06104,기도원,점포 및 상가,A03B01
06105,수도원,교회 및 성당,A16B01
06106,수녀원,교회 및 성당,A16B01
06107,제실,재실,A16B02
06108,사당,재실,A16B02
06109,납골당(제2종근생 제외),납골당,A11B02
06110,봉안당,납골당,A11B02
06199,기타종교집회장,교회 및 성당,A16B01
06999,기타종교시설,교회 및 성당,A16B01
07000,판매시설,보류!!!!!!!!!!,A03B01
07001,도매시장,점포 및 상가,A03B01
07100,소매시장,점포 및 상가,A03B01
07101,시장,점포 및 상가,A03B01
07102,백화점,백화점,A08B01
07103,대형백화점,백화점,A08B01
07104,대형점,대형마트,A08B02
07105,쇼핑센터,아울렛,A08B03
07199,기타소매시장,점포 및 상가,A03B01
07201,상점(소매점),점포 및 상가,A03B01
07202,게임제공업소,점포 및 상가,A03B01
07203,멀티미디어문화컨텐츠설비제공업소,점포 및 상가,A03B01
07204,복합유통.제공업소,점포 및 상가,A03B01
07205,인터넷컴퓨터게임시설제공업소,점포 및 상가,A03B01
07206,청소년게임제공업소,점포 및 상가,A03B01
07207,복합유통게임제공업소,점포 및 상가,A03B01
07208,일반게임제공의시설,점포 및 상가,A03B01
07209,청소년게임제공업의시설,점포 및 상가,A03B01
07210,복합유통게임제공업의시설,점포 및 상가,A03B01
07211,인터넷컴퓨터게임시설제공업의시설,점포 및 상가,A03B01
07212,일반게임제공업의시설,점포 및 상가,A03B01
07301,농수산물도매시장,점포 및 상가,A03B01
07302,농수산물공판장,일반창고,A05B04
07399,기타도매시장,점포 및 상가,A03B01
07999,기타판매시설,점포 및 상가,A03B01
08001,여객자동차터미널,점포 및 상가,A03B01
08002,화물터미널,물류창고(물류센터),A05B07
08003,철도역사,공공청사,A04B04
08004,공항시설,공공청사,A04B04
08005,항만시설(터미널),점포 및 상가,A03B01
08006,종합여객시설,점포 및 상가,A03B01
08007,철도시설,공공청사,A04B04
08008,항만시설,점포 및 상가,A03B01
08999,기타운수시설,물류창고(물류센터),A05B07
09000,의료시설,병원,A10B01
09100,병원,병원,A10B01
09101,종합병원,병원,A10B01
09102,산부인과병원,병원,A10B01
09103,치과병원,병원,A10B01
09104,한방병원,병원,A10B01
09105,정신병원,병원,A10B01
09106,격리병원,병원,A10B01
09107,병원,병원,A10B01
09108,요양소,병원,A10B01
09109,요양병원,병원,A10B01
09199,기타병원,병원,A10B01
09201,전염병원,병원,A10B01
09299,기타격리병원,병원,A10B01
09301,장례식장,장례식장,A11B01
09999,기타의료시설,병원,A10B01
10000,교육연구시설,보류!!!!!!!!!!,A13B02
10001,교육(연수)원,도서관,A13B02
10002,직업훈련소,점포 및 상가,A03B01
10003,학원,점포 및 상가,A03B01
10004,연구소,도서관,A13B02
10005,도서관,도서관,A13B02
10100,학교,학교(초중고),A13B01
10101,초등학교,학교(초중고),A13B01
10102,중학교,학교(초중고),A13B01
10103,고등학교,학교(초중고),A13B01
10104,대학교,학교(초중고),A13B01
10105,전문대학,학교(초중고),A13B01
10106,대학,학교(초중고),A13B01
10107,유치원,유치원,A13B03
10199,기타학교,학교(초중고),A13B01
10201,교육원,도서관,A13B02
10202,연수원,콘도미니엄,A07B02
10299,기타교육원,점포 및 상가,A03B01
10301,연구소,도서관,A13B02
10302,시험소,일반공장,A05B01
10303,계측계량소,일반창고,A05B04
10399,기타연구소,일반공장,A05B01
10401,학원,점포 및 상가,A03B01
10402,교습소,점포 및 상가,A03B01
10999,기타교육연구시설,학교(초중고),A13B01
11000,노유자시설,복지관,A17B01
11100,아동관련시설,보류!!!!!!!!!!,A17B01
11101,유치원,유치원,A13B03
11102,영유아보육시설,학교(초중고),A13B01
11103,어린이집,유치원,A13B03
11104,아동복지시설,복지관,A17B01
11199,기타아동관련시설,복지관,A17B01
11201,노인복지시설,복지관,A17B01
11202,사회복지시설,복지관,A17B01
11203,근로복지시설,복지관,A17B01
11999,기타노유자시설,복지관,A17B01
12000,수련시설,기숙사,A02B05
12001,유스호스텔,콘도미니엄,A07B02
12100,생활권수련시설,기숙사,A02B05
12101,청소년수련원(관),기숙사,A02B05
12102,유스호스텔,여관,A07B01
12103,청소년문화의집,복지관,A17B01
12104,청소년특화시설,복지관,A17B01
12105,청소년수련관,복지관,A17B01
12199,기타생활권수련시설,복지관,A17B01
12200,자연권수련시설,복지관,A17B01
12201,청소년수련원(관),복지관,A17B01
12202,청소년야영장,기숙사,A02B05
12203,청소년수련원,기숙사,A02B05
12299,기타자연권수련시설,기숙사,A02B05
12301,관리동,사무실(15층이하),A04B01
12302,화장실,일반창고,A05B04
12303,샤워실,일반창고,A05B04
12304,대피소,공공청사,A04B04
12305,취사시설,일반창고,A05B04
12399,기타야영장시설,기숙사,A02B05
12999,기타수련시설,복지관,A17B01
13000,운동시설,보류!!!!!!!!!!,A09B03
13001,체육관,체육관,A09B03
13002,운동장시설,체육관,A09B03
13003,탁구장,점포 및 상가,A03B01
13004,체육도장,점포 및 상가,A03B01
13005,테니스장,체육관,A09B03
13006,체력단련장,체육관,A09B03
13007,에어로빅장,점포 및 상가,A03B01
13008,볼링장,볼링장,A09B02
13009,당구장,점포 및 상가,A03B01
13010,실내낚시터,레저시설(인도어골프연습장),A09B04
13011,골프연습장,레저시설(인도어골프연습장),A09B04
13012,물놀이형시설,점포 및 상가,A03B01
13014,놀이형시설,점포 및 상가,A03B01
13100,운동장,체육관,A09B03
13101,육상장,일반창고,A05B04
13102,구기장,일반창고,A05B04
13103,볼링장,볼링장,A09B02
13104,수영장,수영장,A09B01
13105,스케이트장,체육관,A09B03
13106,롤러스케이트장,일반창고,A05B04
13107,승마장,체육관,A09B03
13108,사격장,체육관,A09B03
13109,궁도장,일반창고,A05B04
13110,골프장,레저시설(인도어골프연습장),A09B04
13999,기타 운동시설,체육관,A09B03
14000,업무시설,점포 및 상가,A03B01
14001,,#NAME?,A03B01
14100,공공업무시설,공공청사,A04B04
14101,국가기관청사,공공청사,A04B04
14102,자치단체청사,공공청사,A04B04
14103,외국공관,공공청사,A04B04
14199,기타공공업무시설,공공청사,A04B04
14200,일반업무시설,점포 및 상가,A03B01
14201,금융업소,점포 및 상가,A03B01
14202,오피스텔,주상복합(상가+오피스텔),A06B02
14203,신문사,사무실(15층이하),A04B01
14204,사무소,점포 및 상가,A03B01
14206,출판사,사무실(15층이하),A04B01
14299,기타일반업무시설,점포 및 상가,A03B01
14999,,#NAME?,A03B01
15000,숙박시설,여관,A07B01
15001,고시원,기숙사,A02B05
15002,생활숙박시설,주상복합(상가+오피스텔),A06B02
15003,다중생활시설,보류!!!!!!!!!!,A02B05
15100,일반숙박시설,여관,A07B01
15101,호텔,호텔,A07B03
15102,여관,여관,A07B01
15103,여인숙,여관,A07B01
15104,일반숙박시설,여관,A07B01
15199,기타일반숙박시설,여관,A07B01
15200,관광숙박시설,여관,A07B01
15201,관광호텔,호텔,A07B03
15203,한국전통호텔,호텔,A07B03
15204,가족호텔,호텔,A07B03
15205,휴양콘도미니엄,콘도미니엄,A07B02
15206,호스텔,여관,A07B01
15207,소형호텔,호텔,A07B03
15208,의료관광호텔,호텔,A07B03
15299,기타관광숙박시설,여관,A07B01
15999,기타숙박시설,여관,A07B01
16000,위락시설,보류!!!!!!!!!!,A03B01
16001,단란주점,점포 및 상가,A03B01
16002,유흥주점,점포 및 상가,A03B01
16003,특수목욕장,일반목욕탕,A03B02
16004,유기장,일반창고,A05B04
16005,투전기업소,점포 및 상가,A03B01
16006,무도장(학원),점포 및 상가,A03B01
16007,주점영업,점포 및 상가,A03B01
16008,카지노업소,점포 및 상가,A03B01
16009,유원시설업의시설,점포 및 상가,A03B01
16010,무도장,점포 및 상가,A03B01
16011,무도학원,점포 및 상가,A03B01
16012,카지노영업소,점포 및 상가,A03B01
16999,기타위락시설,점포 및 상가,A03B01
17000,공장,일반공장,A05B01
17100,일반공장,일반공장,A05B01
17200,유해공장,일반공장,A05B01
17301,물품 제조공장,일반공장,A05B01
17302,물품 가공공장,일반공장,A05B01
17303,물품 염색공장,일반공장,A05B01
17304,물품 도장공장,일반공장,A05B01
17305,물품 표백공장,일반공장,A05B01
17306,물품 재봉공장,일반공장,A05B01
17307,물품 건조공장,일반공장,A05B01
17308,물품 인쇄공장,일반공장,A05B01
17309,물품 수리공장,일반공장,A05B01
17999,기타공장,일반공장,A05B01
18000,창고시설,일반창고,A05B04
18001,창고,일반창고,A05B04
18002,하역장,물류창고(물류센터),A05B07
18003,물류터미널,물류창고(물류센터),A05B07
18004,집배송시설,물류창고(물류센터),A05B07
18101,일반창고,일반창고,A05B04
18102,냉장창고,저온창고,A05B06
18103,냉동창고,냉동공장,A05B02
18999,기타창고시설,일반창고,A05B04
19000,위험물저장및처리시설,위험물 저장창고,A14B03
19001,주유소,주유소,A14B01
19002,액화석유가스충전소,주유소,A14B01
19003,위험물제조소,일반공장,A05B01
19004,위험물저장소,위험물 저장창고,A14B03
19005,액화가스취급소,주유소,A14B01
19006,액화가스판매소,주유소,A14B01
19007,유독물보관저장시설,위험물 저장창고,A14B03
19008,고압가스충전저장소,주유소,A14B01
19009,석유판매소,주유소,A14B01
19010,위험물취급소,위험물 저장창고,A14B03
19011,액화석유가스판매소,주유소,A14B01
19012,액화석유가스저장소,위험물 저장창고,A14B03
19013,유독물보관소,점포 및 상가,A03B01
19014,유독물저장소,위험물 저장창고,A14B03
19015,유독물판매시설,점포 및 상가,A03B01
19016,고압가스충전소,주유소,A14B01
19017,고압가스판매소,주유소,A14B01
19018,고압가스저장소,위험물 저장창고,A14B03
19019,도료류판매소,점포 및 상가,A03B01
19020,도시가스공급시설,공공청사,A04B04
19021,화약류저장소,위험물 저장창고,A14B03
19022,도시가스제조시설,일반공장,A05B01
19999,기타위험물저장처리시설,위험물 저장창고,A14B03
20000,자동차관련시설,보류!!!!!!!!!!,A15B01
20001,주차장,주차빌딩(주차장),A15B01
20002,세차장,일반창고,A05B04
20003,폐차장,일반창고,A05B04
20004,검사장,일반공장,A05B01
20005,매매장,일반창고,A05B04
20006,정비공장,정비시설(서비스센터),A15B02
20007,운전학원,점포 및 상가,A03B01
20008,정비학원,정비시설(서비스센터),A15B02
20009,차고,주차빌딩(주차장),A15B01
20010,주기장,주차빌딩(주차장),A15B01
20011,전기자동차충전소,주유소 캐노피,A14B02
20999,기타자동차관련시설,정비시설(서비스센터),A15B02
21000,동물및식물관련시설,축사,A18B01
21001,도축장,일반공장,A05B01
21002,도계장,축사,A18B01
21003,버섯재배사,축사,A18B01
21004,종묘배양시설,축사,A18B01
21005,온실,축사,A18B01
21006,작물재배사,축사,A18B01
21100,축사,축사,A18B01
21101,축사,축사,A18B01
21102,양잠,축사,A18B01
21103,양봉,축사,A18B01
21104,양어시설,축사,A18B01
21105,부화장,축사,A18B01
21106,양돈,축사,A18B01
21107,양계,축사,A18B01
21108,곤충사육,축사,A18B01
21200,가축시설,축사,A18B01
21201,가축용운동시설,축사,A18B01
21202,인공수정센터,점포 및 상가,A03B01
21203,관리사,일반창고,A05B04
21204,가축용창고,축사,A18B01
21205,가축시장,축사,A18B01
21206,동물검역소,공공청사,A04B04
21207,실험동물사육시설,축사,A18B01
21299,기타가축시설,축사,A18B01
21999,기타동식물관련시설,축사,A18B01
22000,분뇨.쓰레기처리시설,일반공장,A05B01
22001,분뇨처리시설,일반공장,A05B01
22002,폐기물처리시설,일반공장,A05B01
22003,폐기물재활용시설,일반공장,A05B01
22004,고물상,일반창고,A05B04
22005,폐기물처리시설및폐기물감량화시설,일반공장,A05B01
22999,기타분뇨쓰레기처리시설,일반공장,A05B01
23000,교정및군사시설,공공청사,A04B04
23002,군사시설,공공청사,A04B04
23003,국방ㆍ군사시설,공공청사,A04B04
23005,갱생보호소,공공청사,A04B04
23006,소년원,공공청사,A04B04
23007,소년분류심사원,공공청사,A04B04
23102,소년원,공공청사,A04B04
23201,보호감호소,공공청사,A04B04
23202,구치소,공공청사,A04B04
23203,교도소,공공청사,A04B04
23999,기타교정및군사시설,공공청사,A04B04
24000,방송통신시설,점포 및 상가,A03B01
24001,방송국,공공청사,A04B04
24002,전신전화국,공공청사,A04B04
24003,촬영소,점포 및 상가,A03B01
24004,통신용시설,점포 및 상가,A03B01
24005,데이터센터,반도체공장,A05B03
24101,방송국,공공청사,A04B04
24102,방송프로그램제작시설,점포 및 상가,A03B01
24103,송신시설,점포 및 상가,A03B01
24104,수신시설,점포 및 상가,A03B01
24105,중계시설,점포 및 상가,A03B01
24999,기타방송통신시설,점포 및 상가,A03B01
25001,발전소,대중목욕탕,A03B03
25999,기타발전시설,일반창고,A05B04
26000,묘지관련시설,장례식장,A11B01
26001,화장장,장례식장,A11B01
26002,납골당,납골당,A11B02
26003,묘지에 부수되는 건축물,장례식장,A11B01
26004,봉안당,납골당,A11B02
26005,화장시설,장례식장,A11B01
26006,자연장지에 부수되는 건축물,점포 및 상가,A03B01
26101,동물화장시설,장례식장,A11B01
26102,동물건조장시설,일반창고,A05B04
26103,동물전용의납골시설,납골당,A11B02
26999,기타묘지관련시설,장례식장,A11B01
27000,관광휴게시설,점포 및 상가,A03B01
27001,야외음악당,일반창고,A05B04
27002,야외극장,주유소 캐노피,A14B02
27003,어린이회관,복지관,A17B01
27004,관망탑,공공청사,A04B04
27005,휴게소,점포 및 상가,A03B01
27006,관광지시설,점포 및 상가,A03B01
27007,공원에 부수되는 시설,일반창고,A05B04
27008,유원지에 부수되는 시설,일반창고,A05B04
27009,관광지에 부수되는 시설,일반창고,A05B04
27999,기타관광휴게시설,점포 및 상가,A03B01
28005,견본주택,일반창고,A05B04
28006,가설점포,일반창고,A05B04
28007,경비용가설건축물,일반창고,A05B04
28009,임시사무실,사무실(15층이하),A04B01
28010,임시창고,일반창고,A05B04
28011,임시숙소,일반창고,A05B04
28012,"농,어업용비닐하우스",축사,A18B01
28013,가축용가설건축물,일반창고,A05B04
28014,"농,어업용고정식온실",축사,A18B01
28999,기타가설건축물,일반창고,A05B04
29001,장례식장,장례식장,A11B01
29002,동물전용의장례식장,장례식장,A11B01
30001,하수등처리시설,일반공장,A05B01
30002,고물상,일반창고,A05B04
30003,폐기물재활용시설,일반공장,A05B01
30004,폐기물처분시설,일반공장,A05B01
30005,폐기물감량화시설,일반공장,A05B01
30999,기타자원순환관련시설,일반공장,A05B01
31001,관리동,사무실(15층이하),A04B01
31002,화장실,일반창고,A05B04
31003,샤워실,일반창고,A05B04
31004,대피소,공공청사,A04B04
31005,취사시설,일반창고,A05B04
31999,기타야영장시설,점포 및 상가,A03B01
32003,갱생보호소,공공청사,A04B04
